,cnn_layers,dropout,lr,preproc_model
1,3,0.919101199,0.369975469,1
2,3,0.919101199,0.369975469,2
3,3,0.919101199,0.369975469,3
4,3,0.919101199,0.369975469,4
5,3,0.919101199,0.369975469,5
6,3,0.919101199,0.369975469,6
7,3,0.919101199,0.369975469,7
8,3,0.919101199,0.369975469,8
9,3,0.919101199,0.277831068,1
10,3,0.919101199,0.277831068,2
11,3,0.919101199,0.277831068,3
12,3,0.919101199,0.277831068,4
13,3,0.919101199,0.277831068,5
14,3,0.919101199,0.277831068,6
15,3,0.919101199,0.277831068,7
16,3,0.919101199,0.277831068,8
17,3,0.680073883,0.369975469,1
18,3,0.680073883,0.369975469,2
19,3,0.680073883,0.369975469,3
20,3,0.680073883,0.369975469,4
21,3,0.680073883,0.369975469,5
22,3,0.680073883,0.369975469,6
23,3,0.680073883,0.369975469,7
24,3,0.680073883,0.369975469,8
25,3,0.680073883,0.277831068,1
26,3,0.680073883,0.277831068,2
27,3,0.680073883,0.277831068,3
28,3,0.680073883,0.277831068,4
29,3,0.680073883,0.277831068,5
30,3,0.680073883,0.277831068,6
31,3,0.680073883,0.277831068,7
32,3,0.680073883,0.277831068,8
33,3,0.919101199,0.369975469,1
34,3,0.919101199,0.369975469,2
35,3,0.919101199,0.369975469,3
36,3,0.919101199,0.369975469,4
37,3,0.919101199,0.369975469,5
38,3,0.919101199,0.369975469,6
39,3,0.919101199,0.369975469,7
40,3,0.919101199,0.369975469,8
41,3,0.919101199,0.277831068,1
42,3,0.919101199,0.277831068,2
43,3,0.919101199,0.277831068,3
44,3,0.919101199,0.277831068,4
45,3,0.919101199,0.277831068,5
46,3,0.919101199,0.277831068,6
47,3,0.919101199,0.277831068,7
48,3,0.919101199,0.277831068,8
49,3,0.680073883,0.369975469,1
50,3,0.680073883,0.369975469,2
51,3,0.680073883,0.369975469,3
52,3,0.680073883,0.369975469,4
53,3,0.680073883,0.369975469,5
54,3,0.680073883,0.369975469,6
55,3,0.680073883,0.369975469,7
56,3,0.680073883,0.369975469,8
57,3,0.680073883,0.277831068,1
58,3,0.680073883,0.277831068,2
59,3,0.680073883,0.277831068,3
60,3,0.680073883,0.277831068,4
61,3,0.680073883,0.277831068,5
62,3,0.680073883,0.277831068,6
63,3,0.680073883,0.277831068,7
64,3,0.680073883,0.277831068,8
