model,src_seq_length,tgt_seq_length,vocab_size,cnn_layers,dropout,lr,score,pplx,acc
0,1010,100,1000,3,0.9191011990000001,0.369975469,,,
1,1010,100,1000,3,0.9191011990000001,0.277831068,,,
2,1010,100,1000,3,0.6800738829999999,0.369975469, -0.4235, 1.5273,0.3027861244425306
3,1010,100,1000,3,0.6800738829999999,0.277831068,,,
4,1010,100,1000,3,0.9191011990000001,0.369975469, -0.4242, 1.5283,0.2494223073473469
5,1010,100,1000,3,0.9191011990000001,0.277831068, -0.3740, 1.4535,0.23518860411126535
6,1010,100,1000,3,0.6800738829999999,0.369975469, -0.3952, 1.4847,0.23145269375399533
7,1010,100,1000,3,0.6800738829999999,0.277831068, -0.3744, 1.4542,0.24936068019421526
8,1010,100,1000,2,0.9191011990000001,0.369975469,,,
9,1010,100,1000,2,0.9191011990000001,0.277831068,,,
10,1010,100,1000,2,0.6800738829999999,0.369975469,,,
11,1010,100,1000,2,0.6800738829999999,0.277831068,,,
12,1010,100,1000,2,0.565125921,0.66259112,,,
13,1010,100,1000,1,0.19334297399999997,0.450013506,,,
14,1010,100,1000,1,0.19334297399999997,0.8474859220000001,,,
15,1010,100,1000,1,0.19334297399999997,0.450013506,,,
16,1010,100,1000,1,0.19334297399999997,0.8474859220000001,,,
17,1010,100,1000,3,0.48659020299999994,0.873290123,,,
18,1010,100,1000,3,0.48659020299999994,0.814692015,,,
19,1010,100,1000,3,0.48659020299999994,0.531036118,,,
20,1010,100,1000,3,0.0444264,0.873290123,,,
21,1010,100,1000,3,0.0444264,0.814692015,,,
22,1010,100,1000,3,0.0444264,0.531036118,,,
23,1010,100,1000,3,0.48659020299999994,0.873290123,,,
24,1010,100,1000,3,0.48659020299999994,0.814692015,,,
25,1010,100,1000,3,0.48659020299999994,0.531036118,,,
26,1010,100,1000,3,0.0444264,0.873290123,,,
27,1010,100,1000,3,0.0444264,0.814692015,,,
28,1010,100,1000,3,0.0444264,0.531036118,,,
29,1010,100,1000,5,0.48659020299999994,0.873290123, -0.1866, 1.2051,0.2348280027816012
30,1010,100,1000,5,0.48659020299999994,0.814692015,,,
31,1010,100,1000,5,0.48659020299999994,0.531036118,,,
32,1010,100,1000,5,0.0444264,0.873290123,,,
33,1010,100,1000,5,0.0444264,0.814692015,,,
34,1010,100,1000,5,0.0444264,0.531036118,,,
35,1010,100,3000,3,0.9191011990000001,0.369975469,,,
36,1010,100,3000,3,0.9191011990000001,0.277831068,,,
37,1010,100,3000,3,0.6800738829999999,0.369975469,,,
38,1010,100,3000,3,0.6800738829999999,0.277831068, -0.4409, 1.5542,0.24536973692123876
39,1010,100,3000,3,0.9191011990000001,0.369975469, -0.2586, 1.2951,0.20872500640469907
40,1010,100,3000,3,0.9191011990000001,0.277831068,,,
41,1010,100,3000,3,0.6800738829999999,0.369975469, -0.3175, 1.3737,0.26212307990736045
42,1010,100,3000,3,0.6800738829999999,0.277831068,,,
43,1010,100,3000,2,0.9191011990000001,0.369975469,,,
44,1010,100,3000,2,0.9191011990000001,0.277831068,,,
45,1010,100,3000,2,0.6800738829999999,0.369975469,,,
46,1010,100,3000,2,0.6800738829999999,0.277831068,,,
47,1010,100,3000,1,0.19334297399999997,0.450013506,,,
48,1010,100,3000,1,0.19334297399999997,0.8474859220000001,,,
49,1010,100,3000,1,0.19334297399999997,0.450013506,,,
50,1010,100,3000,1,0.19334297399999997,0.8474859220000001,,,
51,1010,100,3000,3,0.48659020299999994,0.873290123,,,
52,1010,100,3000,3,0.48659020299999994,0.814692015,,,
53,1010,100,3000,3,0.48659020299999994,0.531036118,,,
54,1010,100,3000,3,0.0444264,0.873290123,,,
55,1010,100,3000,3,0.0444264,0.814692015,,,
56,1010,100,3000,3,0.0444264,0.531036118,,,
57,1010,100,3000,3,0.48659020299999994,0.873290123,,,
58,1010,100,3000,3,0.48659020299999994,0.814692015,,,
59,1010,100,3000,3,0.48659020299999994,0.531036118,,,
60,1010,100,3000,3,0.0444264,0.873290123,,,
61,1010,100,3000,3,0.0444264,0.814692015,,,
62,1010,100,3000,3,0.0444264,0.531036118,,,
63,1010,100,3000,5,0.48659020299999994,0.873290123, -0.2079, 1.2311,0.2088269498122732
64,1010,100,3000,5,0.48659020299999994,0.814692015,,,
65,1010,100,3000,5,0.48659020299999994,0.531036118,,,
66,1010,100,3000,5,0.0444264,0.873290123,,,
67,1010,100,3000,5,0.0444264,0.814692015,,,
68,1010,100,3000,5,0.0444264,0.531036118,,,
69,1010,200,1000,3,0.9191011990000001,0.369975469,,,
70,1010,200,1000,3,0.9191011990000001,0.277831068,,,
71,1010,200,1000,3,0.6800738829999999,0.369975469,,,
72,1010,200,1000,3,0.6800738829999999,0.277831068,,,
73,1010,200,1000,3,0.9191011990000001,0.369975469,,,
74,1010,200,1000,3,0.9191011990000001,0.277831068,,,
75,1010,200,1000,3,0.6800738829999999,0.369975469,,,
76,1010,200,1000,3,0.6800738829999999,0.277831068,,,
77,1010,200,1000,2,0.9191011990000001,0.369975469,,,
78,1010,200,1000,2,0.9191011990000001,0.277831068,,,
79,1010,200,1000,2,0.6800738829999999,0.369975469,,,
80,1010,200,1000,2,0.6800738829999999,0.277831068,,,
81,1010,200,1000,1,0.19334297399999997,0.450013506,,,
82,1010,200,1000,1,0.19334297399999997,0.8474859220000001,,,
83,1010,200,1000,1,0.19334297399999997,0.450013506,,,
84,1010,200,1000,1,0.19334297399999997,0.8474859220000001,,,
85,1010,200,1000,3,0.48659020299999994,0.873290123,,,
86,1010,200,1000,3,0.48659020299999994,0.814692015,,,
87,1010,200,1000,3,0.48659020299999994,0.531036118,,,
88,1010,200,1000,3,0.0444264,0.873290123,,,
89,1010,200,1000,3,0.0444264,0.814692015,,,
90,1010,200,1000,3,0.0444264,0.531036118,,,
91,1010,200,1000,3,0.48659020299999994,0.873290123,,,
92,1010,200,1000,3,0.48659020299999994,0.814692015,,,
93,1010,200,1000,3,0.48659020299999994,0.531036118,,,
94,1010,200,1000,3,0.0444264,0.873290123,,,
95,1010,200,1000,3,0.0444264,0.814692015, -0.3408, 1.4060,0.230907261357141
96,1010,200,1000,3,0.0444264,0.531036118,,,
97,1010,200,1000,5,0.48659020299999994,0.873290123, -0.4519, 1.5713,0.23348721918903173
98,1010,200,1000,5,0.48659020299999994,0.814692015, -0.6401, 1.8968,0.22156773749914754
99,1010,200,1000,5,0.48659020299999994,0.531036118, -0.5040, 1.6554,0.23473588729608924
100,1010,200,1000,5,0.0444264,0.873290123, -0.6681, 1.9506,0.21281943375546622
101,1010,200,1000,5,0.0444264,0.814692015, -0.5547, 1.7414,0.22160733279794287
102,1010,200,1000,5,0.0444264,0.531036118, -0.6799, 1.9737,0.30852213729533473
103,1010,200,3000,3,0.9191011990000001,0.369975469, -0.6541, 1.9235,0.20447700599305718
104,1010,200,3000,3,0.9191011990000001,0.277831068, -0.6422, 1.9007,0.24229389877077026
